"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2025","602.70","598.10","612.30","596.80","6.39M","0.75%"
"03/05/2025","598.20","583.80","605.70","580.70","4.88M","2.45%"
"03/04/2025","583.90","575.90","588.30","547.40","16.47M","1.39%"
"03/03/2025","575.90","623.90","624.10","567.30","24.40K","-7.69%"
"03/02/2025","623.90","607.60","634.60","601.50","26.06K","2.65%"
"03/01/2025","607.80","588.20","609.30","586.40","14.89K","3.38%"
"02/28/2025","587.90","605.30","606.00","560.50","28.02K","-2.92%"
"02/27/2025","605.60","611.60","619.30","595.90","16.70K","-0.95%"
"02/26/2025","611.40","623.30","631.80","594.80","17.83K","-1.89%"
"02/25/2025","623.20","613.90","627.80","587.70","44.10K","1.43%"
"02/24/2025","614.40","658.70","659.60","611.30","23.99K","-6.63%"
"02/23/2025","658.00","668.70","671.30","648.40","12.57K","-1.57%"
"02/22/2025","668.50","646.80","679.40","645.00","21.34K","3.29%"
"02/21/2025","647.20","656.10","668.00","634.90","21.82K","-1.36%"
"02/20/2025","656.10","651.90","658.90","645.80","22.82K","0.37%"
"02/19/2025","653.70","647.60","661.10","638.20","25.79K","0.86%"
"02/18/2025","648.10","667.40","668.40","630.70","30.40K","-2.88%"
"02/17/2025","667.30","672.90","681.50","658.40","22.62K","-0.83%"
"02/16/2025","672.90","661.20","684.50","653.50","23.38K","1.65%"
"02/15/2025","662.00","659.40","671.10","653.50","21.71K","0.32%"
"02/14/2025","659.90","665.30","684.80","651.50","50.11K","-0.74%"
"02/13/2025","664.80","697.60","731.60","660.00","121.89K","-4.65%"
"02/12/2025","697.20","642.10","705.30","627.30","34.78K","8.51%"
"02/11/2025","642.50","619.60","646.70","615.20","22.93K","3.86%"
"02/10/2025","618.60","615.80","621.70","596.40","29.69K","0.42%"
"02/09/2025","616.00","612.60","647.80","603.10","61.56K","0.57%"
"02/08/2025","612.50","577.30","633.30","573.60","23.90K","6.01%"
"02/07/2025","577.80","571.80","589.80","570.70","9.37K","1.01%"
"02/06/2025","572.00","570.20","589.40","568.90","13.54K","0.49%"
"02/05/2025","569.20","572.50","579.30","561.50","8.66K","-0.66%"
"02/04/2025","573.00","617.40","618.90","558.20","20.79K","-7.12%"
"02/03/2025","616.90","618.00","618.30","501.60","85.54K","-0.10%"
"02/02/2025","617.50","652.20","662.90","600.40","20.86K","-5.47%"
"02/01/2025","653.20","677.30","681.50","650.50","5.87K","-3.57%"
"01/31/2025","677.40","677.70","689.50","673.50","5.69K","0.00%"
"01/30/2025","677.40","668.00","682.40","666.00","5.13K","1.51%"
"01/29/2025","667.30","661.20","679.30","659.50","7.67K","0.89%"
"01/28/2025","661.40","680.00","682.80","659.50","7.59K","-2.71%"
"01/27/2025","679.80","666.80","680.10","638.20","19.37K","1.93%"
"01/26/2025","666.90","686.60","690.70","664.80","6.55K","-2.84%"
"01/25/2025","686.40","679.80","689.70","677.50","9.68K","0.87%"
"01/24/2025","680.50","690.00","691.00","678.50","10.21K","-1.32%"
"01/23/2025","689.60","695.20","697.20","680.30","14.58K","-0.82%"
"01/22/2025","695.30","691.40","703.20","689.80","10.37K","0.45%"
"01/21/2025","692.20","682.40","697.30","675.40","19.30K","1.50%"
"01/20/2025","682.00","681.70","709.30","671.20","46.71K","-0.18%"
"01/19/2025","683.20","709.70","714.70","676.80","34.43K","-3.77%"
"01/18/2025","710.00","722.00","723.20","695.50","14.77K","-1.58%"
"01/17/2025","721.40","708.30","729.70","708.30","8.66K","1.94%"
"01/16/2025","707.70","715.00","717.40","701.20","10.66K","-0.97%"
"01/15/2025","714.60","699.00","714.80","688.50","10.84K","2.26%"
"01/14/2025","698.80","688.60","700.10","686.30","6.39K","1.51%"
"01/13/2025","688.40","692.80","699.80","660.10","18.54K","-0.66%"
