"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2025","0.209810","0.204510","0.219970","0.202360","1.28B","2.49%"
"03/05/2025","0.204720","0.199050","0.206470","0.196380","1.03B","2.86%"
"03/04/2025","0.199020","0.198790","0.202180","0.183520","1.93B","-0.05%"
"03/03/2025","0.199120","0.240080","0.240290","0.193860","2.21B","-16.79%"
"03/02/2025","0.239300","0.206480","0.242130","0.201750","2.58B","15.77%"
"03/01/2025","0.206700","0.201860","0.208930","0.199400","741.43M","2.39%"
"02/28/2025","0.201880","0.206940","0.207190","0.181690","2.18B","-2.43%"
"02/27/2025","0.206910","0.203600","0.211480","0.201140","905.21M","1.66%"
"02/26/2025","0.203530","0.211580","0.213920","0.196160","1.65B","-3.75%"
"02/25/2025","0.211470","0.210420","0.214530","0.196020","2.71B","0.62%"
"02/24/2025","0.210160","0.242950","0.243950","0.206370","1.79B","-13.45%"
"02/23/2025","0.242810","0.246430","0.247520","0.240450","377.57M","-1.52%"
"02/22/2025","0.246560","0.239080","0.247730","0.238230","493.52M","2.92%"
"02/21/2025","0.239560","0.254810","0.261090","0.234550","1.26B","-5.95%"
"02/20/2025","0.254720","0.254710","0.257400","0.250080","679.33M","-0.05%"
"02/19/2025","0.254840","0.251280","0.255340","0.249000","540.52M","1.40%"
"02/18/2025","0.251310","0.258470","0.259680","0.242440","903.93M","-2.66%"
"02/17/2025","0.258190","0.265230","0.268590","0.254010","800.63M","-2.85%"
"02/16/2025","0.265760","0.271720","0.274080","0.263870","510.02M","-2.21%"
"02/15/2025","0.271770","0.271890","0.282900","0.268280","960.76M","-0.01%"
"02/14/2025","0.271800","0.262720","0.285430","0.260980","1.49B","3.57%"
"02/13/2025","0.262420","0.264280","0.267080","0.253400","899.10M","-0.64%"
"02/12/2025","0.264110","0.252770","0.267090","0.247450","1.24B","4.33%"
"02/11/2025","0.253150","0.256200","0.269730","0.248840","1.08B","-0.87%"
"02/10/2025","0.255380","0.249180","0.256240","0.241700","766.67M","2.62%"
"02/09/2025","0.248870","0.253230","0.259920","0.239990","814.53M","-1.63%"
"02/08/2025","0.253000","0.246030","0.253910","0.244770","619.85M","2.58%"
"02/07/2025","0.246630","0.247730","0.261560","0.239010","1.31B","-0.58%"
"02/06/2025","0.248070","0.256960","0.265850","0.243540","1.18B","-3.09%"
"02/05/2025","0.255980","0.262820","0.269080","0.253730","965.56M","-2.88%"
"02/04/2025","0.263580","0.285250","0.288700","0.256070","2.85B","-7.47%"
"02/03/2025","0.284860","0.267430","0.292900","0.206150","7.19B","6.31%"
"02/02/2025","0.267940","0.307630","0.314720","0.253120","3.69B","-13.01%"
"02/01/2025","0.308030","0.328470","0.332110","0.303840","904.35M","-6.32%"
"01/31/2025","0.328800","0.331700","0.341200","0.323710","840.21M","-0.80%"
"01/30/2025","0.331460","0.324290","0.338690","0.322350","612.48M","2.32%"
"01/29/2025","0.323950","0.318900","0.333860","0.317080","927.43M","1.65%"
"01/28/2025","0.318680","0.334060","0.338950","0.315330","935.09M","-4.58%"
"01/27/2025","0.333960","0.335070","0.337050","0.307270","2.47B","-0.64%"
"01/26/2025","0.336110","0.353750","0.357290","0.335970","543.63M","-4.92%"
"01/25/2025","0.353520","0.350130","0.359910","0.345660","697.11M","0.80%"
"01/24/2025","0.350700","0.352400","0.364590","0.343000","908.48M","-0.39%"
"01/23/2025","0.352080","0.362710","0.364410","0.342190","1.39B","-2.89%"
"01/22/2025","0.362540","0.371790","0.373730","0.355590","1.43B","-2.58%"
"01/21/2025","0.372140","0.354280","0.398140","0.336060","4.63B","4.95%"
"01/20/2025","0.354580","0.356850","0.386000","0.346090","4.01B","-1.24%"
"01/19/2025","0.359040","0.396360","0.409970","0.351230","4.84B","-9.45%"
"01/18/2025","0.396490","0.415020","0.433430","0.386550","3.42B","-4.50%"
"01/17/2025","0.415160","0.376270","0.420780","0.375550","2.74B","10.33%"
"01/16/2025","0.376300","0.386750","0.389770","0.368280","2.00B","-2.38%"
"01/15/2025","0.385470","0.356570","0.387580","0.348520","2.00B","8.34%"
"01/14/2025","0.355790","0.338130","0.361590","0.335920","1.63B","5.20%"
"01/13/2025","0.338210","0.335910","0.345710","0.312560","1.78B","0.71%"
"01/12/2025","0.335840","0.341250","0.343350","0.331910","648.61M","-1.51%"
"01/11/2025","0.340980","0.333770","0.348030","0.329860","604.80M","2.11%"
"01/10/2025","0.333950","0.321930","0.339330","0.321830","1.49B","4.11%"
"01/09/2025","0.320770","0.341590","0.346690","0.314730","1.86B","-6.27%"
"01/08/2025","0.342210","0.347950","0.355210","0.324820","2.13B","-1.75%"
"01/07/2025","0.348320","0.387820","0.398060","0.348130","2.54B","-10.20%"
"01/06/2025","0.387870","0.382990","0.395080","0.376040","1.12B","1.52%"
"01/05/2025","0.382070","0.394910","0.397490","0.375970","1.06B","-3.23%"
"01/04/2025","0.394830","0.380380","0.398600","0.377240","1.86B","3.98%"
"01/03/2025","0.379720","0.339070","0.389030","0.336010","2.15B","12.05%"
"01/02/2025","0.338870","0.325350","0.344840","0.324730","1.56B","4.22%"
"01/01/2025","0.325140","0.315640","0.327370","0.311960","705.45M","2.86%"
"12/31/2024","0.316100","0.313780","0.328610","0.309650","1.02B","0.68%"
"12/30/2024","0.313960","0.313810","0.322980","0.307030","1.24B","-0.11%"
"12/29/2024","0.314320","0.324690","0.329510","0.312060","838.72M","-3.07%"
"12/28/2024","0.324280","0.311830","0.327070","0.311490","626.40M","3.98%"
"12/27/2024","0.311880","0.312570","0.324720","0.309070","1.01B","-0.30%"
"12/26/2024","0.312820","0.334340","0.337870","0.308610","1.14B","-6.43%"
"12/25/2024","0.334300","0.336880","0.342150","0.326700","1.18B","-0.80%"
"12/24/2024","0.337000","0.324610","0.340300","0.316290","1.47B","3.71%"
"12/23/2024","0.324930","0.312480","0.328530","0.303200","2.13B","3.89%"
"12/22/2024","0.312760","0.320560","0.324320","0.305340","2.19B","-2.27%"
"12/21/2024","0.320030","0.317250","0.349930","0.314200","3.75B","0.70%"
"12/20/2024","0.317790","0.314980","0.328920","0.264490","6.90B","1.08%"
"12/19/2024","0.314390","0.358680","0.367150","0.301590","5.54B","-12.35%"
"12/18/2024","0.358670","0.394150","0.396320","0.352110","2.78B","-8.99%"
"12/17/2024","0.394120","0.402070","0.410190","0.391280","1.49B","-1.94%"
"12/16/2024","0.401900","0.407110","0.414710","0.392540","1.64B","-1.15%"
"12/15/2024","0.406560","0.397270","0.410990","0.392720","1.09B","2.05%"
"12/14/2024","0.398390","0.409000","0.413980","0.387840","1.41B","-2.56%"
"12/13/2024","0.408840","0.405830","0.412270","0.399620","1.56B","0.68%"
"12/12/2024","0.406070","0.414240","0.423940","0.401730","2.54B","-1.98%"
"12/11/2024","0.414280","0.393910","0.418890","0.375810","2.98B","5.07%"
"12/10/2024","0.394300","0.413010","0.422850","0.366290","5.32B","-4.96%"
"12/09/2024","0.414860","0.466370","0.466570","0.386020","5.58B","-11.09%"
"12/08/2024","0.466610","0.453450","0.483910","0.447330","3.42B","3.02%"
"12/07/2024","0.452910","0.434630","0.465830","0.431080","3.48B","4.17%"
"12/06/2024","0.434760","0.427540","0.441310","0.420000","2.74B","1.85%"
"12/05/2024","0.426880","0.430090","0.464430","0.407960","6.43B","-1.19%"
"12/04/2024","0.432040","0.407720","0.435700","0.400110","3.71B","6.31%"
"12/03/2024","0.406400","0.425290","0.429200","0.390000","4.30B","-4.34%"
"12/02/2024","0.424840","0.440480","0.461780","0.402690","5.66B","-3.41%"
"12/01/2024","0.439820","0.421510","0.449600","0.416740","3.41B","4.32%"
"11/30/2024","0.421600","0.426510","0.434840","0.414120","2.29B","-1.00%"
"11/29/2024","0.425850","0.402250","0.436780","0.399560","3.09B","6.06%"
"11/28/2024","0.401510","0.401350","0.428430","0.391440","2.63B","0.13%"
"11/27/2024","0.400980","0.386790","0.407360","0.380440","2.93B","3.50%"
"11/26/2024","0.387430","0.392210","0.408470","0.366280","3.93B","-1.31%"
"11/25/2024","0.392560","0.430500","0.436440","0.381140","4.15B","-8.83%"
"11/24/2024","0.430600","0.428390","0.452990","0.400060","4.93B","0.11%"
"11/23/2024","0.430120","0.412500","0.479840","0.404850","8.61B","4.18%"
"11/22/2024","0.412860","0.386860","0.419210","0.381140","6.07B","6.79%"
"11/21/2024","0.386610","0.377690","0.394940","0.369020","3.94B","2.38%"
"11/20/2024","0.377620","0.390500","0.396140","0.365540","3.74B","-3.33%"
"11/19/2024","0.390610","0.370650","0.419740","0.367300","6.17B","5.23%"
