"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2025","0.025040","0.024730","0.025140","0.024640","0.03K","1.66%"
"03/05/2025","0.024630","0.024890","0.025470","0.024400","0.02K","-1.00%"
"03/04/2025","0.024880","0.024990","0.025380","0.024330","0.04K","-0.44%"
"03/03/2025","0.024990","0.026710","0.026770","0.024540","0.04K","-6.44%"
"03/02/2025","0.026710","0.025810","0.027350","0.025270","0.03K","3.57%"
"03/01/2025","0.025790","0.026460","0.026660","0.025360","0.05K","-2.53%"
"02/28/2025","0.026460","0.027290","0.027400","0.026170","0.03K","-3.25%"
"02/27/2025","0.027350","0.027730","0.027880","0.026800","0.03K","-1.37%"
"02/26/2025","0.027730","0.028090","0.028230","0.027010","0.03K","-1.28%"
"02/25/2025","0.028090","0.027480","0.028470","0.026110","0.06K","2.22%"
"02/24/2025","0.027480","0.029300","0.029420","0.026900","0.15K","-6.21%"
"02/23/2025","0.029300","0.028600","0.029620","0.028410","0.03K","2.45%"
"02/22/2025","0.028600","0.027660","0.028950","0.027530","0.09K","3.40%"
"02/21/2025","0.027660","0.027890","0.028630","0.027310","0.05K","-0.82%"
"02/20/2025","0.027890","0.028120","0.028320","0.027760","0.08K","-0.82%"
"02/19/2025","0.028120","0.027870","0.028460","0.027860","0.01K","0.90%"
"02/18/2025","0.027870","0.028650","0.028720","0.027690","0.04K","-2.72%"
"02/17/2025","0.028650","0.027660","0.029350","0.027560","0.05K","3.58%"
"02/16/2025","0.027660","0.027590","0.027910","0.027430","0.02K","0.25%"
"02/15/2025","0.027590","0.027960","0.028050","0.027460","0.01K","-1.32%"
"02/14/2025","0.027960","0.027730","0.028380","0.027570","0.10K","0.83%"
"02/13/2025","0.027730","0.027940","0.028230","0.027400","0.02K","-0.75%"
"02/12/2025","0.027940","0.027170","0.028490","0.027040","0.02K","2.83%"
"02/11/2025","0.027170","0.027290","0.027810","0.026850","0.03K","-0.44%"
"02/10/2025","0.027290","0.027240","0.027690","0.026880","0.03K","0.18%"
"02/09/2025","0.027240","0.027310","0.027830","0.026640","0.02K","-0.26%"
"02/08/2025","0.027310","0.027170","0.027610","0.027020","0.02K","0.52%"
"02/07/2025","0.027170","0.027860","0.028290","0.026790","0.02K","-2.48%"
"02/06/2025","0.027860","0.028910","0.029090","0.027670","0.03K","-3.63%"
"02/05/2025","0.028910","0.027960","0.028940","0.027670","0.02K","3.40%"
"02/04/2025","0.027960","0.028450","0.030000","0.027000","0.06K","-1.72%"
"02/03/2025","0.028450","0.029320","0.029460","0.023940","0.16K","-2.97%"
"02/02/2025","0.029320","0.030970","0.031440","0.028810","0.06K","-5.33%"
"02/01/2025","0.030970","0.032230","0.032490","0.030960","0.02K","-3.91%"
"01/31/2025","0.032230","0.031020","0.032790","0.030890","0.06K","3.90%"
"01/30/2025","0.031020","0.030180","0.031160","0.029900","0.02K","2.78%"
"01/29/2025","0.030180","0.030430","0.030830","0.030030","0.04K","-0.72%"
"01/28/2025","0.030400","0.031140","0.031370","0.030340","0.03K","-2.38%"
