"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2025","0.22163","0.21981","0.22700","0.21709","737.38K","0.83%"
"03/05/2025","0.21981","0.20983","0.22704","0.20789","1.19M","4.76%"
"03/04/2025","0.20983","0.21435","0.21435","0.19040","2.38M","-2.11%"
"03/03/2025","0.21435","0.26400","0.26520","0.20850","2.90M","-18.81%"
"03/02/2025","0.26400","0.20800","0.31259","0.20481","5.32M","26.92%"
"03/01/2025","0.20800","0.20361","0.21000","0.19843","1.94M","2.16%"
"02/28/2025","0.20361","0.20378","0.20692","0.18400","1.51M","-0.08%"
"02/27/2025","0.20378","0.20623","0.21084","0.19929","161.27K","-1.19%"
"02/26/2025","0.20623","0.20087","0.21095","0.19595","1.76M","2.67%"
"02/25/2025","0.20087","0.19878","0.20352","0.18260","2.07M","1.05%"
"02/24/2025","0.19878","0.22787","0.22900","0.19626","1.29M","-12.77%"
"02/23/2025","0.22787","0.23107","0.23270","0.22207","253.51K","-1.38%"
"02/22/2025","0.23107","0.21883","0.23107","0.21749","420.31K","5.59%"
"02/21/2025","0.21883","0.23027","0.24139","0.21500","519.01K","-4.97%"
"02/20/2025","0.23027","0.22432","0.23027","0.22228","247.42K","2.65%"
"02/19/2025","0.22432","0.21731","0.22476","0.21514","193.44K","3.23%"
"02/18/2025","0.21731","0.22716","0.22802","0.20888","1.01M","-4.34%"
"02/17/2025","0.22716","0.22928","0.23939","0.22358","101.91K","-0.92%"
"02/16/2025","0.22928","0.23396","0.23594","0.22720","150.63K","-2.00%"
"02/15/2025","0.23396","0.24488","0.24975","0.23232","211.85K","-4.46%"
"02/14/2025","0.24488","0.23681","0.25144","0.23499","440.95K","3.41%"
"02/13/2025","0.23681","0.24745","0.24862","0.23236","464.47K","-4.30%"
"02/12/2025","0.24745","0.23386","0.25292","0.22157","1.17M","5.81%"
"02/11/2025","0.23386","0.23047","0.25103","0.23047","1.26M","1.47%"
"02/10/2025","0.23047","0.22243","0.23780","0.21489","285.25K","3.61%"
"02/09/2025","0.22243","0.22717","0.23079","0.21155","213.42K","-2.09%"
"02/08/2025","0.22717","0.21733","0.22769","0.21334","121.00K","4.53%"
"02/07/2025","0.21733","0.20917","0.23444","0.20917","156.72K","3.90%"
"02/06/2025","0.20917","0.22254","0.22967","0.20851","269.40K","-6.01%"
"02/05/2025","0.22254","0.23186","0.23599","0.22131","516.63K","-4.02%"
"02/04/2025","0.23186","0.24616","0.25116","0.21651","1.24M","-5.81%"
"02/03/2025","0.24616","0.23858","0.25352","0.17691","8.06M","3.18%"
"02/02/2025","0.23858","0.27850","0.28438","0.22500","4.14M","-14.33%"
"02/01/2025","0.27850","0.30184","0.30901","0.27585","483.03K","-7.73%"
"01/31/2025","0.30184","0.30775","0.31778","0.29832","286.96K","-1.92%"
"01/30/2025","0.30775","0.29103","0.31775","0.29003","625.19K","5.75%"
"01/29/2025","0.29103","0.27888","0.30234","0.27660","459.81K","4.36%"
"01/28/2025","0.27888","0.30175","0.30689","0.27852","255.84K","-7.58%"
"01/27/2025","0.30175","0.31051","0.31051","0.27050","2.13M","-2.82%"
"01/26/2025","0.31051","0.32375","0.33443","0.31051","280.41K","-4.09%"
"01/25/2025","0.32375","0.31689","0.32938","0.31689","256.89K","2.16%"
"01/24/2025","0.31689","0.32124","0.34000","0.30900","715.57K","-1.35%"
"01/23/2025","0.32124","0.32130","0.32940","0.30908","793.56K","-0.02%"
"01/22/2025","0.32130","0.33517","0.33931","0.32100","912.84K","-4.14%"
"01/21/2025","0.33517","0.32880","0.34565","0.30913","2.67M","1.94%"
"01/20/2025","0.32880","0.32558","0.36540","0.31363","3.14M","0.99%"
"01/19/2025","0.32558","0.36829","0.38401","0.31869","5.36M","-11.60%"
"01/18/2025","0.36829","0.39985","0.40267","0.35800","1.17M","-7.89%"
"01/17/2025","0.39985","0.39054","0.42455","0.39054","2.13M","2.38%"
"01/16/2025","0.39054","0.38517","0.40900","0.37225","3.87M","1.39%"
"01/15/2025","0.38517","0.34864","0.38829","0.34409","4.61M","10.48%"
"01/14/2025","0.34864","0.31678","0.35545","0.31400","2.90M","10.06%"
"01/13/2025","0.31678","0.32892","0.34631","0.29026","4.11M","-3.69%"
"01/12/2025","0.32892","0.33769","0.35000","0.32284","1.99M","-2.60%"
"01/11/2025","0.33769","0.32313","0.34805","0.31847","2.77M","4.51%"
"01/10/2025","0.32313","0.30450","0.33147","0.30170","2.10M","6.12%"
"01/09/2025","0.30450","0.32212","0.33095","0.29710","2.83M","-5.47%"
"01/08/2025","0.32212","0.33919","0.34400","0.30100","1.77M","-5.03%"
"01/07/2025","0.33919","0.37985","0.38913","0.33919","1.65M","-10.70%"
"01/06/2025","0.37985","0.35880","0.39964","0.35215","2.73M","5.87%"
"01/05/2025","0.35880","0.35753","0.36999","0.35195","954.86K","0.15%"
"01/04/2025","0.35825","0.36062","0.38126","0.35510","1.22M","-0.66%"
"01/03/2025","0.36062","0.34477","0.36900","0.33880","2.28M","4.60%"
