"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2025","108.70","104.74","112.99","103.71","1.24M","3.79%"
"03/05/2025","104.73","103.54","106.78","100.65","963.33K","1.03%"
"03/04/2025","103.66","109.90","110.89","94.08","2.52M","-5.58%"
"03/03/2025","109.79","127.94","130.12","106.79","2.29M","-14.12%"
"03/02/2025","127.84","124.31","130.00","118.28","1.99M","2.89%"
"03/01/2025","124.25","128.10","130.75","123.09","868.20K","-2.97%"
"02/28/2025","128.05","126.88","129.57","114.22","2.55M","0.96%"
"02/27/2025","126.83","125.11","131.96","121.89","2.25M","1.63%"
"02/26/2025","124.79","114.58","128.65","114.01","2.52M","8.96%"
"02/25/2025","114.53","114.60","116.96","106.62","2.05M","0.01%"
"02/24/2025","114.52","129.78","130.36","112.41","1.44M","-11.71%"
"02/23/2025","129.71","125.85","130.36","125.27","585.83K","3.01%"
"02/22/2025","125.92","128.17","131.07","125.79","941.59K","-1.84%"
"02/21/2025","128.28","130.78","139.85","123.89","2.67M","-1.87%"
"02/20/2025","130.73","134.89","135.00","126.22","1.67M","-3.07%"
"02/19/2025","134.87","129.75","139.81","129.75","2.09M","4.01%"
"02/18/2025","129.67","122.36","129.77","120.05","1.51M","6.02%"
"02/17/2025","122.31","126.05","128.68","120.19","1.35M","-2.60%"
"02/16/2025","125.58","134.12","137.20","125.18","1.38M","-6.19%"
"02/15/2025","133.86","125.27","134.88","124.35","1.34M","7.15%"
"02/14/2025","124.93","127.20","133.73","124.55","1.58M","-1.20%"
"02/13/2025","126.45","122.01","129.24","119.02","1.39M","3.69%"
"02/12/2025","121.95","119.21","124.84","111.68","1.60M","2.26%"
"02/11/2025","119.26","120.51","131.92","118.02","2.47M","-0.75%"
"02/10/2025","120.16","107.34","121.77","107.30","1.86M","12.13%"
"02/09/2025","107.16","104.75","109.08","102.37","748.27K","2.30%"
"02/08/2025","104.75","102.94","105.13","101.85","490.40K","1.54%"
"02/07/2025","103.16","101.58","107.85","100.72","852.05K","1.46%"
"02/06/2025","101.68","103.42","109.58","99.60","1.12M","-1.58%"
"02/05/2025","103.31","100.93","109.02","100.47","1.05M","2.16%"
"02/04/2025","101.13","107.23","108.60","98.62","1.30M","-5.47%"
"02/03/2025","106.98","108.86","108.93","82.39","3.62M","-1.83%"
"02/02/2025","108.97","118.03","121.38","104.78","1.57M","-8.10%"
"02/01/2025","118.57","128.12","131.17","117.85","1.18M","-7.41%"
"01/31/2025","128.06","130.17","134.69","125.39","1.15M","-1.58%"
"01/30/2025","130.11","116.03","133.79","114.27","1.92M","12.39%"
"01/29/2025","115.77","109.93","119.22","109.93","799.72K","5.26%"
"01/28/2025","109.99","114.96","116.92","109.29","691.86K","-4.41%"
"01/27/2025","115.06","116.97","117.88","106.31","1.21M","-1.78%"
"01/26/2025","117.15","123.94","125.07","117.04","568.11K","-5.48%"
"01/25/2025","123.94","118.64","129.21","118.19","1.39M","4.35%"
"01/24/2025","118.77","116.51","122.79","112.89","985.93K","1.97%"
"01/23/2025","116.48","115.23","117.16","111.31","654.34K","1.01%"
"01/22/2025","115.32","118.83","120.22","114.23","642.88K","-3.17%"
"01/21/2025","119.10","118.82","124.83","113.72","1.10M","0.46%"
"01/20/2025","118.55","115.44","127.37","113.00","1.90M","2.43%"
"01/19/2025","115.74","125.05","128.58","112.00","2.29M","-7.68%"
"01/18/2025","125.37","137.10","139.35","123.28","1.83M","-8.48%"
"01/17/2025","136.98","124.45","140.76","124.45","2.62M","10.36%"
"01/16/2025","124.12","117.19","130.05","114.24","2.98M","5.89%"
"01/15/2025","117.22","102.55","118.51","100.78","1.02M","14.42%"
"01/14/2025","102.45","98.37","102.52","97.63","428.39K","4.12%"
"01/13/2025","98.40","102.35","104.33","93.48","752.98K","-3.89%"
"01/12/2025","102.38","104.22","105.27","101.38","293.01K","-1.93%"
"01/11/2025","104.39","103.99","104.95","102.18","310.73K","0.45%"
"01/10/2025","103.92","102.33","106.26","102.11","518.26K","1.66%"
"01/09/2025","102.22","101.17","105.71","100.00","662.03K","0.81%"
"01/08/2025","101.40","102.88","104.96","97.36","730.09K","-1.26%"
"01/07/2025","102.69","113.82","114.84","102.16","828.38K","-9.93%"
"01/06/2025","114.01","115.73","117.08","111.73","663.10K","-1.24%"
"01/05/2025","115.44","111.26","116.10","110.64","371.40K","3.80%"
"01/04/2025","111.21","112.81","112.81","110.10","361.73K","-1.35%"
"01/03/2025","112.73","105.19","114.78","104.12","640.79K","7.23%"
"01/02/2025","105.13","105.08","108.20","104.62","660.90K","0.02%"
"01/01/2025","105.11","103.29","108.03","102.10","550.09K","1.79%"
"12/31/2024","103.26","99.35","104.74","97.82","534.29K","3.88%"
"12/30/2024","99.40","98.31","103.03","97.48","634.69K","1.08%"
"12/29/2024","98.34","100.87","101.56","96.96","377.97K","-2.41%"
"12/28/2024","100.77","100.58","101.74","98.68","308.84K","0.17%"
"12/27/2024","100.60","102.28","106.47","99.75","505.91K","-1.60%"
"12/26/2024","102.24","109.85","110.32","101.09","579.30K","-6.88%"
"12/25/2024","109.79","108.14","110.65","106.92","455.05K","1.33%"
"12/24/2024","108.35","106.68","110.77","104.01","682.33K","1.48%"
"12/23/2024","106.77","99.79","107.62","98.03","955.04K","6.99%"
"12/22/2024","99.79","101.51","103.88","96.93","802.12K","-1.67%"
"12/21/2024","101.48","101.17","105.96","98.06","1.03M","0.05%"
"12/20/2024","101.43","99.52","103.30","86.99","1.91M","2.06%"
"12/19/2024","99.38","108.48","111.66","94.88","2.31M","-8.39%"
"12/18/2024","108.48","125.69","128.87","107.99","2.15M","-13.43%"
"12/17/2024","125.31","118.01","131.33","114.61","1.81M","6.19%"
"12/16/2024","118.01","121.22","123.88","115.53","1.02M","-2.57%"
"12/15/2024","121.12","118.09","122.14","114.71","657.59K","2.46%"
"12/14/2024","118.21","124.52","124.98","115.46","717.09K","-5.10%"
"12/13/2024","124.56","119.43","125.00","117.22","1.06M","4.53%"
"12/12/2024","119.16","117.31","124.98","116.52","1.49M","1.55%"
"12/11/2024","117.34","109.84","118.64","106.15","1.27M","6.87%"
"12/10/2024","109.80","110.44","114.76","101.49","2.58M","-0.92%"
"12/09/2024","110.82","134.89","134.95","101.88","2.11M","-17.81%"
"12/08/2024","134.83","133.49","135.76","130.21","633.92K","0.77%"
"12/07/2024","133.80","135.94","138.57","131.76","799.84K","-1.56%"
"12/06/2024","135.92","136.13","139.19","130.17","1.16M","0.11%"
"12/05/2024","135.77","133.17","146.43","125.04","2.69M","1.50%"
"12/04/2024","133.77","131.06","135.12","122.07","1.76M","2.30%"
"12/03/2024","130.76","132.78","134.89","122.31","2.45M","-1.61%"
"12/02/2024","132.90","119.56","139.20","115.25","4.49M","11.15%"
"12/01/2024","119.57","102.75","121.16","99.36","1.98M","16.48%"
"11/30/2024","102.65","104.73","104.80","100.44","829.93K","-1.89%"
"11/29/2024","104.63","95.59","104.63","94.75","817.10K","9.54%"
"11/28/2024","95.52","97.23","98.25","93.72","529.47K","-1.75%"
"11/27/2024","97.22","92.75","98.89","91.51","825.84K","4.58%"
"11/26/2024","92.96","92.39","95.24","88.12","851.72K","0.84%"
"11/25/2024","92.19","96.96","99.15","91.12","1.04M","-4.89%"
"11/24/2024","96.93","99.22","103.00","91.75","1.50M","-2.55%"
"11/23/2024","99.47","92.20","106.08","92.10","3.15M","7.99%"
"11/22/2024","92.11","89.48","92.62","87.80","1.23M","2.92%"
"11/21/2024","89.50","83.38","91.68","81.69","1.46M","7.30%"
"11/20/2024","83.41","86.65","87.75","82.43","887.88K","-3.72%"
"11/19/2024","86.63","89.19","90.08","85.11","1.00M","-2.86%"
"11/18/2024","89.18","87.13","94.62","86.49","1.67M","2.31%"
"11/17/2024","87.17","95.45","97.18","85.06","1.75M","-8.61%"
"11/16/2024","95.38","83.59","98.35","82.88","2.82M","13.95%"
"11/15/2024","83.70","82.34","87.14","78.91","1.60M","1.79%"
"11/14/2024","82.23","75.42","84.67","74.28","2.47M","9.06%"
"11/13/2024","75.40","76.71","77.88","71.88","1.30M","-1.58%"
"11/12/2024","76.61","80.14","82.71","74.14","1.82M","-4.25%"
"11/11/2024","80.01","76.50","80.24","74.64","1.49M","4.56%"
"11/10/2024","76.52","74.01","78.19","73.66","1.12M","3.43%"
"11/09/2024","73.98","72.76","74.18","71.62","389.15K","1.65%"
"11/08/2024","72.78","71.57","73.03","70.68","419.42K","1.88%"
"11/07/2024","71.44","70.93","72.34","69.96","458.90K","0.58%"
"11/06/2024","71.03","65.40","71.61","65.40","841.25K","8.61%"
"11/05/2024","65.40","65.54","67.28","64.88","387.25K","-0.23%"
"11/04/2024","65.55","66.78","67.72","64.46","368.03K","-1.93%"
"11/03/2024","66.84","69.20","69.29","65.29","328.36K","-3.40%"
"11/02/2024","69.19","70.29","71.23","68.87","228.24K","-1.49%"
"11/01/2024","70.24","69.33","71.05","67.77","398.46K","1.37%"
"10/31/2024","69.29","71.79","72.07","68.49","367.86K","-3.44%"
"10/30/2024","71.76","73.99","74.26","71.49","290.61K","-3.00%"
"10/29/2024","73.98","70.91","74.35","70.71","431.94K","4.51%"
"10/28/2024","70.79","71.06","71.55","69.64","334.71K","-0.39%"
"10/27/2024","71.07","68.45","71.20","68.03","188.42K","3.80%"
"10/26/2024","68.47","68.66","69.71","68.09","248.69K","-0.55%"
"10/25/2024","68.85","71.23","72.27","67.05","410.54K","-3.25%"
"10/24/2024","71.16","70.07","71.33","69.30","265.36K","1.60%"
"10/23/2024","70.04","70.03","70.42","67.99","300.49K","0.00%"
"10/22/2024","70.04","70.77","71.60","69.42","700.49K","-0.99%"
"10/21/2024","70.74","74.28","74.54","70.35","406.20K","-4.75%"
"10/20/2024","74.27","74.91","75.62","73.70","295.08K","-0.76%"
"10/19/2024","74.84","73.06","76.05","73.06","310.29K","2.46%"
"10/18/2024","73.04","72.77","74.82","71.91","465.64K","0.34%"
"10/17/2024","72.79","70.21","73.97","69.98","573.39K","3.88%"
"10/16/2024","70.07","70.91","72.97","69.37","659.27K","-1.14%"
"10/15/2024","70.88","66.85","71.56","65.42","1.05M","6.04%"
"10/14/2024","66.84","64.78","67.34","64.16","391.90K","3.15%"
"10/13/2024","64.80","66.20","66.30","64.47","170.06K","-2.10%"
"10/12/2024","66.19","65.59","66.63","65.12","156.63K","0.99%"
"10/11/2024","65.54","64.32","65.89","64.31","213.24K","1.94%"
"10/10/2024","64.29","64.52","65.08","63.41","218.87K","-0.43%"
"10/09/2024","64.57","65.73","65.96","64.14","301.01K","-1.70%"
"10/08/2024","65.69","64.76","66.16","64.59","237.89K","1.53%"
"10/07/2024","64.70","67.07","67.97","64.52","343.13K","-3.49%"
"10/06/2024","67.04","66.43","67.65","66.14","205.52K","1.15%"
"10/05/2024","66.28","64.97","66.36","64.72","209.48K","2.05%"
"10/04/2024","64.95","63.45","65.18","63.34","232.74K","2.36%"
"10/03/2024","63.45","62.90","63.97","62.00","338.52K","0.79%"
"10/02/2024","62.95","63.35","64.75","62.28","333.33K","-0.76%"
"10/01/2024","63.43","66.83","68.55","62.06","476.86K","-5.17%"
"09/30/2024","66.89","69.29","69.35","66.34","350.56K","-3.44%"
"09/29/2024","69.27","69.98","70.30","68.52","217.93K","-1.00%"
"09/28/2024","69.97","71.08","71.49","69.02","324.19K","-1.60%"
"09/27/2024","71.11","68.55","71.19","68.32","377.49K","3.70%"
"09/26/2024","68.57","66.57","68.57","65.65","293.26K","3.02%"
"09/25/2024","66.56","66.72","67.84","65.92","251.50K","-0.19%"
"09/24/2024","66.69","66.96","67.16","65.69","311.02K","-0.39%"
"09/23/2024","66.95","68.64","69.27","66.69","312.20K","-2.56%"
"09/22/2024","68.71","66.89","68.77","66.52","306.20K","2.80%"
"09/21/2024","66.84","65.35","67.13","64.85","222.94K","2.31%"
"09/20/2024","65.33","65.48","66.44","64.36","358.96K","-0.15%"
"09/19/2024","65.43","64.80","66.05","64.70","345.62K","0.94%"
"09/18/2024","64.82","63.74","64.82","62.45","302.99K","1.63%"
"09/17/2024","63.78","62.59","64.03","61.96","298.53K","1.85%"
"09/16/2024","62.62","63.20","63.73","62.11","291.15K","-1.00%"
"09/15/2024","63.25","65.93","66.31","62.96","295.64K","-4.04%"
"09/14/2024","65.91","64.97","66.74","64.88","414.27K","1.52%"
"09/13/2024","64.92","62.85","64.98","62.42","407.12K","3.31%"
"09/12/2024","62.84","62.16","63.12","61.53","383.60K","1.06%"
"09/11/2024","62.18","61.54","62.41","60.13","489.79K","1.09%"
"09/10/2024","61.51","61.38","61.77","60.36","377.15K","0.15%"
"09/09/2024","61.42","60.88","61.75","59.67","596.04K","0.85%"
"09/08/2024","60.90","62.01","62.29","60.01","393.67K","-1.88%"
"09/07/2024","62.07","62.97","64.15","61.67","315.70K","-1.54%"
"09/06/2024","63.04","66.07","66.79","61.26","503.40K","-4.63%"
"09/05/2024","66.10","65.40","68.43","64.44","736.15K","1.05%"
"09/04/2024","65.41","64.34","66.21","62.25","425.55K","1.68%"
"09/03/2024","64.33","65.39","66.38","64.32","320.58K","-1.59%"
"09/02/2024","65.37","63.53","65.71","62.65","338.20K","2.82%"
"09/01/2024","63.58","64.97","65.10","62.92","275.05K","-2.14%"
"08/31/2024","64.97","64.94","66.36","64.87","333.39K","0.11%"
"08/30/2024","64.90","62.51","65.40","61.58","445.71K","3.82%"
"08/29/2024","62.51","61.80","63.89","61.09","646.05K","1.15%"
"08/28/2024","61.80","60.34","62.37","59.48","393.64K","2.23%"
"08/27/2024","60.45","62.99","63.96","59.26","402.79K","-4.17%"
"08/26/2024","63.08","64.82","65.08","63.08","324.97K","-2.74%"
"08/25/2024","64.86","66.59","66.86","64.43","273.21K","-2.57%"
"08/24/2024","66.57","66.12","67.98","65.44","307.08K","0.70%"
"08/23/2024","66.11","63.78","66.78","63.53","428.70K","3.65%"
"08/22/2024","63.78","64.29","64.35","62.63","321.39K","-0.81%"
"08/21/2024","64.30","64.49","64.75","62.06","452.94K","-0.17%"
"08/20/2024","64.41","66.34","67.29","63.22","423.84K","-2.88%"
"08/19/2024","66.32","66.38","67.42","66.01","325.93K","-0.05%"
