"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2025","0.246400","0.243800","0.246800","0.242800","409.29M","1.11%"
"03/05/2025","0.243700","0.242500","0.245000","0.240600","412.79M","0.45%"
"03/04/2025","0.242600","0.231200","0.243000","0.226800","1.14B","4.93%"
"03/03/2025","0.231200","0.244100","0.245500","0.227500","956.09M","-5.25%"
"03/02/2025","0.244000","0.234100","0.247100","0.232200","552.05M","4.23%"
"03/01/2025","0.234100","0.233400","0.237300","0.230100","374.70M","0.34%"
"02/28/2025","0.233300","0.228700","0.233400","0.217100","1.19B","2.06%"
"02/27/2025","0.228600","0.227300","0.229800","0.225600","444.35M","0.62%"
"02/26/2025","0.227200","0.230600","0.231900","0.222900","1.01B","-1.56%"
"02/25/2025","0.230800","0.240000","0.243800","0.225300","1.89B","-3.83%"
"02/24/2025","0.240000","0.246100","0.249000","0.239800","842.37M","-2.40%"
"02/23/2025","0.245900","0.239500","0.246000","0.237900","332.64M","2.76%"
"02/22/2025","0.239300","0.237700","0.239700","0.234600","288.72M","0.67%"
"02/21/2025","0.237700","0.246400","0.250600","0.235600","574.67M","-3.53%"
"02/20/2025","0.246400","0.242100","0.247800","0.237700","342.32M","1.65%"
"02/19/2025","0.242400","0.239200","0.244000","0.239200","340.31M","1.38%"
"02/18/2025","0.239100","0.238500","0.241100","0.232600","490.14M","0.17%"
"02/17/2025","0.238700","0.242400","0.247600","0.238400","500.18M","-1.53%"
"02/16/2025","0.242400","0.237400","0.243900","0.235500","333.19M","2.11%"
"02/15/2025","0.237400","0.231600","0.238000","0.230400","268.74M","2.55%"
"02/14/2025","0.231500","0.234100","0.236600","0.230100","416.81M","-1.11%"
"02/13/2025","0.234100","0.243300","0.244200","0.233800","438.95M","-3.74%"
"02/12/2025","0.243200","0.241000","0.245500","0.235900","610.28M","0.91%"
"02/11/2025","0.241000","0.246400","0.249000","0.240200","471.24M","-2.11%"
"02/10/2025","0.246200","0.232400","0.246800","0.228000","586.40M","6.03%"
