"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2025","1.0001","1.0000","1.0001","0.9999","380.91M","0.01%"
"03/05/2025","1.0000","0.9998","0.9999","0.9996","400.15M","0.02%"
"03/04/2025","0.9998","0.9993","1.0000","0.9991","418.66M","0.05%"
"03/03/2025","0.9993","1.0001","1.0001","0.9990","496.34M","-0.08%"
"03/02/2025","1.0001","0.9996","1.0006","0.9994","405.46M","0.05%"
"03/01/2025","0.9996","0.9995","0.9998","0.9994","261.77M","0.00%"
"02/28/2025","0.9995","0.9991","0.9999","0.9986","482.01M","0.05%"
"02/27/2025","0.9991","0.9985","0.9994","0.9984","439.79M","0.05%"
"02/26/2025","0.9985","0.9988","0.9994","0.9983","462.33M","-0.02%"
"02/25/2025","0.9988","0.9998","0.9999","0.9984","591.01M","-0.10%"
"02/24/2025","0.9998","1.0000","1.0003","0.9995","382.95M","-0.02%"
"02/23/2025","1.0000","1.0001","1.0002","0.9999","627.80M","-0.01%"
"02/22/2025","1.0000","0.9994","1.0001","0.9994","617.60M","0.07%"
"02/21/2025","0.9994","1.0002","1.0003","0.9990","608.78M","-0.08%"
"02/20/2025","1.0002","0.9999","1.0005","0.9993","513.55M","0.03%"
"02/19/2025","0.9998","0.9994","1.0000","0.9994","339.91M","0.05%"
"02/18/2025","0.9994","0.9999","1.0000","0.9993","512.72M","-0.05%"
"02/17/2025","0.9999","1.0000","1.0001","0.9999","210.73M","-0.01%"
"02/16/2025","1.0000","1.0001","1.0001","0.9999","224.07M","-0.01%"
"02/15/2025","1.0001","1.0000","1.0001","1.0000","234.34M","0.01%"
"02/14/2025","1.0000","1.0001","1.0004","1.0000","405.61M","0.00%"
"02/13/2025","1.0001","1.0000","1.0001","0.9999","230.98M","0.01%"
"02/12/2025","1.0000","0.9998","1.0000","0.9996","522.12M","0.02%"
"02/11/2025","0.9998","1.0001","1.0002","0.9997","413.36M","-0.03%"
"02/10/2025","1.0001","1.0001","1.0003","1.0000","447.86M","0.00%"
"02/09/2025","1.0001","1.0001","1.0002","1.0000","265.71M","0.00%"
"02/08/2025","1.0001","1.0002","1.0003","0.9998","431.47M","0.00%"
"02/07/2025","1.0002","1.0000","1.0007","1.0000","708.31M","0.01%"
"02/06/2025","1.0000","1.0000","1.0006","1.0000","507.86M","0.00%"
"02/05/2025","1.0000","1.0002","1.0004","1.0000","623.38M","-0.02%"
"02/04/2025","1.0002","1.0010","1.0012","1.0001","893.37M","-0.08%"
"02/03/2025","1.0010","0.9998","1.0021","0.9995","1.54B","0.13%"
"02/02/2025","0.9998","0.9998","1.0001","0.9991","763.08M","0.00%"
"02/01/2025","0.9998","0.9997","0.9999","0.9995","429.68M","0.00%"
"01/31/2025","0.9997","1.0001","1.0002","0.9994","592.99M","-0.04%"
"01/30/2025","1.0001","1.0000","1.0003","0.9998","339.63M","0.01%"
"01/29/2025","1.0000","0.9994","1.0000","0.9994","499.39M","0.05%"
"01/28/2025","0.9995","0.9998","1.0001","0.9992","434.89M","-0.04%"
"01/27/2025","0.9998","0.9996","1.0002","0.9992","616.93M","0.02%"
"01/26/2025","0.9996","0.9998","0.9999","0.9996","336.50M","-0.02%"
"01/25/2025","0.9998","0.9999","1.0000","0.9997","238.76M","-0.01%"
"01/24/2025","0.9999","1.0001","1.0005","0.9997","531.58M","-0.02%"
"01/23/2025","1.0001","0.9995","1.0005","0.9991","909.09M","0.06%"
"01/22/2025","0.9995","1.0001","1.0001","0.9995","543.16M","-0.05%"
"01/21/2025","1.0001","0.9988","1.0003","0.9985","859.40M","0.13%"
"01/20/2025","0.9988","0.9986","0.9992","0.9980","950.86M","0.02%"
"01/19/2025","0.9986","0.9990","0.9992","0.9981","1.23B","-0.04%"
"01/18/2025","0.9990","1.0004","1.0005","0.9987","483.21M","-0.14%"
"01/17/2025","1.0003","0.9998","1.0008","0.9996","578.50M","0.05%"
"01/16/2025","0.9998","1.0000","1.0001","0.9995","361.28M","-0.02%"
"01/15/2025","1.0000","0.9996","1.0003","0.9993","633.86M","0.04%"
"01/14/2025","0.9996","0.9996","0.9998","0.9993","409.84M","0.01%"
"01/13/2025","0.9996","0.9995","0.9997","0.9985","787.71M","0.01%"
"01/12/2025","0.9994","0.9996","0.9996","0.9992","148.38M","-0.02%"
"01/11/2025","0.9996","0.9998","0.9998","0.9992","203.93M","-0.02%"
"01/10/2025","0.9998","0.9999","1.0000","0.9996","457.92M","-0.01%"
"01/09/2025","0.9999","0.9997","1.0000","0.9993","583.56M","0.02%"
"01/08/2025","0.9997","0.9998","1.0000","0.9994","650.60M","-0.01%"
"01/07/2025","0.9998","1.0004","1.0005","0.9992","751.45M","-0.06%"
"01/06/2025","1.0004","0.9998","1.0007","0.9995","423.71M","0.06%"
"01/05/2025","0.9998","0.9998","0.9999","0.9996","126.51M","-0.01%"
"01/04/2025","0.9998","0.9995","0.9999","0.9994","157.10M","0.03%"
"01/03/2025","0.9995","0.9990","0.9997","0.9989","458.88M","0.06%"
"01/02/2025","0.9990","0.9979","0.9992","0.9979","359.46M","0.10%"
